,US Equities,World Equities,US Treasuries,High Yield,Corp Bonds,Real Estate,Commodities,,Regime
7-Apr,0.039423,0.038663,0.00609,0.012996,0.007311,-0.014386,-0.008351,,1
7-May,0.038668,0.035343,-0.024377,0.00707,-0.013763,0.009038,0.002524,,1
7-Jun,-0.009441,0.002203,-0.002871,-0.017567,-0.001566,-0.067682,0.0274,,1
7-Jul,-0.039381,-0.037721,0.027568,-0.036669,0.0024,-0.104881,0.034798,,1
7-Aug,0.008424,0.004195,0.018244,0.014965,0.008692,0.048189,-0.028829,,1
7-Sep,0.050306,0.062109,0.006275,0.026794,0.009271,0.062661,0.0917,,1
7-Oct,-0.021209,0.027193,0.022507,0.003231,0.017499,-0.049026,0.097828,,1
7-Nov,-0.024377,-0.032496,0.033918,-0.019587,0.000654,-0.05695,-0.02755,,-1
7-Dec,-0.00037,-0.015614,-0.004152,0.002913,0.001681,-0.036913,0.055841,,-1
8-Jan,-0.047213,-0.075516,0.031159,-0.011846,0.014746,0.035037,-0.021254,,-1
8-Feb,-0.043723,-0.015669,-0.000201,-0.015138,-0.002687,-0.070368,0.145859,,-1
8-Mar,0.027027,0.013101,-0.000306,-0.001613,-0.018829,0.092426,-0.029169,,-1
8-Apr,0.031856,0.041514,-0.008083,0.043936,0.017559,0.030793,0.075353,,-1
8-May,-0.005369,0.019735,-0.022739,0.000964,-0.012429,-0.033794,0.113951,,-1
8-Jun,-0.069597,-0.089184,0.016659,-0.032489,-0.008705,-0.094657,0.092273,,-1
8-Jul,-0.016162,-0.035145,0.003801,-0.013524,-0.003839,0.026166,-0.125988,,-1
8-Aug,0.020219,-0.036243,0.02151,0.008403,0.005412,0.01873,-0.073892,,-1
8-Sep,-0.09744,-0.125042,0.012157,-0.086849,-0.083405,-0.024801,-0.137095,,-1
8-Oct,-0.173147,-0.204945,-0.039976,-0.152554,-0.068198,-0.312202,-0.295256,,-1
8-Nov,-0.162932,-0.111894,0.154699,-0.094547,0.053776,-0.337308,-0.17563,,-1
8-Dec,0.120291,0.108032,0.062876,0.078526,0.062639,0.422866,-0.074309,,-1
9-Jan,-0.080826,-0.114021,-0.088004,0.059937,0.004838,-0.148119,-0.113704,,-1
9-Feb,-0.148267,-0.126883,-0.009799,-0.031025,-0.020985,-0.268897,-0.097275,,-1
9-Mar,0.160889,0.14061,0.056939,0.030141,-0.002639,0.117361,0.097293,,1
9-Apr,0.092502,0.116204,-0.064163,0.12695,0.033579,0.242674,0.044771,,1
9-May,0.076946,0.153733,-0.049603,0.071,0.036334,0.100732,0.195285,,1
9-Jun,-0.017931,-0.020112,0.032394,0.024421,0.035817,-0.048288,-0.030868,,1
